id;x;y
320;3570787;6035791
321;3571078;6035894
322;3570977;6035923
323;3571986;6036797
324;3571909;6036900
325;3572546;6036865
326;3571536;6036871
327;3571440;6037043
328;3571210;6037178
329;3572256;6038071
330;3572208;6037928
331;3572322;6037440
332;3572460;6037647
333;3572471;6037530
334;3572653;6038110
335;3571635;6037794
336;3571405;6037739
337;3570466;6038068
338;3570696;6038408
339;3571840;6039557
340;3572231;6039889
341;3573289;6039586
342;3572858;6038904
343;3572883;6039001
344;3573538;6038785
345;3566071;6032339
346;3566116;6032376
347;3566652;6031949
348;3567461;6031859
349;3567583;6031772
350;3567496;6031605
351;3567567;6031611
352;3567548;6031282
353;3568461;6031558
354;3568062;6031629
355;3567903;6031272
356;3567937;6031298
357;3568046;6031452
358;3568152;6031417
359;3569199;6031685
360;3575629;6037281
361;3575023;6037217
362;3572902;6038162
363;3572953;6038169
364;3572921;6038062
365;3572979;6038079
366;3572842;6037878
367;3572790;6037682
368;3572818;6037642
369;3572841;6037613
370;3572858;6037591
371;3572795;6038069
372;3572810;6038062
373;3572704;6038026
374;3572863;6038039
375;3572941;6037285
376;3572941;6037240
377;3572896;6037068
378;3572933;6036997
379;3574983;6036748
380;3575354;6036582
381;3575351;6036521
382;3575608;6036656
383;3575523;6036505
384;3575214;6036399
385;3575248;6036349
386;3575275;6036131
387;3575201;6036111
388;3575242;6036048
389;3575053;6035952
390;3575107;6035828
391;3575658;6035605
392;3571688;6035909
393;3571173;6035588
394;3571071;6035187
395;3570727;6035459
396;3570198;6035015
397;3570457;6033657
398;3573199;6034459
399;3573217;6034282
400;3573735;6034096
401;3573906;6034084
402;3573782;6034160
403;3572201;6033144
404;3573774;6032884
405;3573831;6032959
406;3573772;6032966
407;3573687;6033034
408;3573728;6032962
409;3573681;6032936
410;3573652;6033121
411;3573657;6033026
412;3572362;6031956
413;3572246;6032686
414;3572947;6038048
415;3575698;6031015
416;3575727;6031224
417;3575549;6032047
418;3575626;6030850
419;3575681;6030911
420;3576221;6036370
421;3575977;6036206
422;3575816;6035846
423;3575692;6035453
424;3575827;6031225
425;3575872;6031346
426;3576004;6031221
427;3576443;6031814
428;3576081;6031190
429;3576113;6031241
430;3576110;6031317
431;3576004;6031352
432;3576684;6031237
433;3576730;6031270
434;3576618;6031241
